addr;name;type;unit;scale;detail
405;CA_QV_Q1;value;;1;
406;CA_QV_Q2;value;;1;
407;CA_QV_Q3;value;;1;
408;CA_QV_Q4;value;;1;
409;CA_FW Enable;enum;;;0=disable | 1=enable
410;CA_F Start;value;Hz;0.01;
411;CA_F Stop;value;Hz;0.01;
412;CA_VW Enable;enum;;;0=disable | 1=enable
413;CA_V Start;value;V;0.1;
414;CA_V Stop;value;V;0.1;
415;Normal Up Slope;value;%;1;
416;Soft Start Rise Rate;value;%;1;
417;QV Response Time;value;s;1;
418;VW Response Time;value;s;1;
419;FW Response Time;value;s;1;
500;Running Status;enum;;;0=Standby | 1=Selfcheck | 2=Normal | 3=Alarm | 4=Fault
501;Day Active Energy;value;kWh;0.1;
502;Day Reactive Energy;value;kVarh;0.1;
503;Day Grid Conn. Time;value;s;1;
504;Total Active Energy (low);value;kWh;0.1;
505;Total Active Energy (high);value;kWh;0.1;
506;Total Reactive Energy (low);value;kVarh;0.1;
507;Total Reactive Energy (high);value;kVarh;0.1;
508;Inverter Status Flag 1;format;;;0x
509;Inverter Status Flag 2;format;;;0x
514;Day Battery Charge;value;kWh;0.1;
515;Day Battery Discharge;value;kWh;0.1;
516;Total Battery Charge (low);value;kWh;0.1;
517;Total Battery Charge (high);value;kWh;0.1;
518;Total Battery Discharge (low);value;kWh;0.1;
519;Total Battery Discharge (high);value;kWh;0.1;
520;Day Grid Import;value;kWh;0.1;
521;Day Grid Export;value;kWh;0.1;
522;Total Grid Import (low);value;kWh;0.1;
523;Total Grid Import (high);value;kWh;0.1;
524;Total Grid Export (low);value;kWh;0.1;
525;Total Grid Export (high);value;kWh;0.1;
526;Day Load Energy;value;kWh;0.1;
527;Total Load Energy (low);value;kWh;0.1;
528;Total Load Energy (high);value;kWh;0.1;
529;Day PV Energy;value;kWh;0.1;
530;Day PV-1 Energy;value;kWh;0.1;
531;Day PV-2 Energy;value;kWh;0.1;
532;Day PV-3 Energy;value;kWh;0.1;
533;Day PV-4 Energy;value;kWh;0.1;
534;Total PV Energy (low);value;kWh;0.1;
535;Total PV Energy (high);value;kWh;0.1;
539;Gen Working Hours / Day;value;h;0.1;
540;DC Transformer Temp;temp;°C;0.1;raw*0.1-100
541;Radiator Temp;temp;°C;0.1;raw*0.1-100
542;Reserved Temp 1;temp;°C;0.1;raw*0.1-100
543;Reserved Temp 2;temp;°C;0.1;raw*0.1-100
544;DRM Code Bitmaske;value;;1;
548;Comm Board Fault Status;format;;;0x
549;MCU Test Flag;format;;;0x
550;LCD Test Flag;format;;;0x
551;Turn Off/On Status;format;;;power off
552;AC Relay Status (Bitmask);format;;;(Bit0=INV, Bit2=Grid, Bit3=Gen, Bit4=GridSupply)
553;Warning Word 1;format;;;(Bit1=FAN_WARN, Bit2=GridPhaseWrong)
554;Warning Word 2;format;;;0x
555;Fault Code 1 (low);value;;1;
556;Fault Code 1 (high);value;;1;
557;Fault Code 2 (low);value;;1;
